# FINAL TIMESERIES OF HAT-P-32 b
# BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass
2458107.5698575526, -0.0668536404235428, 0.999010938765034, 0.005908767998815559, 1.0, 1.0176385345521959
2458107.571582998, -0.06605111069183578, 0.9979205592319286, 0.005908800915257079, 1.0, 1.018126477319933
2458107.573666837, -0.06508188698365519, 1.0015139347769313, 0.005908839290805696, 1.0, 1.0186956360949024
2458107.57574901, -0.0641134382195368, 0.9931332304203597, 0.005908876260293831, 1.0, 1.0192442385839124
2458107.577830766, -0.0631451832997269, 0.9983934696741686, 0.005908912181001592, 1.0, 1.019777557569696
2458107.579913806, -0.06217633103622677, 0.9911212752714932, 0.005908946929800125, 1.0, 1.0202937395428664
2458107.5819962914, -0.061207736943023505, 0.9991364718378208, 0.005908980543083967, 1.0, 1.0207932995359288
2458107.584078476, -0.06023928276425966, 0.9934010961527581, 0.005909012984665132, 1.0, 1.021275674963377
2458107.586172395, -0.059265370622844066, 1.000179595063147, 0.005909044501907831, 1.0, 1.021744522115565
2458107.5882551116, -0.05829666888648849, 0.9952058380062266, 0.005909074642381254, 1.0, 1.0221930875924918
2458107.590337145, -0.05732828488153016, 1.005479584817589, 0.0059091037929458815, 1.0, 1.0226271059102812
2458107.592419132, -0.05635992253515376, 1.0034558034250405, 0.005909131789475945, 1.0, 1.0230441134486288
2458107.5945011545, -0.05539154372825511, 1.000820595363333, 0.005909158737618155, 1.0, 1.0234456640260792
2458107.596583199, -0.054423154525237105, 0.9893693678344815, 0.005909184612138649, 1.0, 1.0238313633053635
2458107.598664874, -0.05345493729135978, 0.9880001005823751, 0.005909209452371041, 1.0, 1.0242017801055565
2458107.6007466526, -0.05248667197543053, 0.9979269871655295, 0.005909233119795189, 1.0, 1.0245548312475639
2458107.602828015, -0.051518600070638104, 0.9959321331998723, 0.00590925594998298, 1.0, 1.0248955071642634
2458107.6049212976, -0.0505449840020378, 0.9895666230159428, 0.00590927785738622, 1.0, 1.0252225183986694
2458107.6070027063, -0.049576890655249256, 1.002194588423763, 0.005909298601325042, 1.0, 1.0255322576856618
2458107.60908452, -0.04860860887879773, 1.0022785247065533, 0.005909318393231646, 1.0, 1.0258278678703285
2458107.611166773, -0.04764012286191838, 0.9999741888075748, 0.005909337218205522, 1.0, 1.0261091141800693
2458107.6132503105, -0.046671039284763016, 0.9969020808102715, 0.005909355012967468, 1.0, 1.0263750391272064
2458107.6153327837, -0.04570245082279106, 1.0062511383652477, 0.005909371871832748, 1.0, 1.0266270408691276
2458107.617415442, -0.04473377615966295, 1.004184368642192, 0.005909387784350752, 1.0, 1.026864952969548
2458107.6194977993, -0.04376524162756004, 1.001913081523837, 0.005909402742148284, 1.0, 1.027088640488447
2458107.6215793923, -0.042797062512786976, 1.0030820074902644, 0.005909416691224884, 1.0, 1.0272972864118093
2458107.623660546, -0.04182908785502751, 1.0004060347719907, 0.0059094297680785945, 1.0, 1.0274929239428685
2458107.625742035, -0.04086095703889217, 0.997440578839827, 0.0059094419630302975, 1.0, 1.0276754008764113
2458107.6278351443, -0.03988742154021671, 1.0020640857021443, 0.005909453222609214, 1.0, 1.0278439099691694
2458107.6299175476, -0.03891886556611768, 1.001860951796581, 0.005909463540946663, 1.0, 1.0279983565700515
2458107.63199958, -0.03795048199433099, 1.0107483460669877, 0.005909472955460229, 1.0, 1.028139294595783
2458107.634081671, -0.03698207134931686, 1.0050044544949313, 0.0059094814147920465, 1.0, 1.0282659495607063
2458107.636164121, -0.03601349371663587, 1.0002084219589678, 0.005909488995904162, 1.0, 1.028379468730977
2458107.638246987, -0.03504472245623225, 1.015646160535801, 0.005909495686565911, 1.0, 1.0284796646344823
2458107.6403287537, -0.03407646255494848, 1.003643537333285, 0.005909501431649213, 1.0, 1.0285657077419108
