#,"#x_centroid,","y_centroid,","amplitude,","sigma_x,","sigma_y,",rotation,offset
266.997893,339.992085,542.444787,1.255611,0.533596,-0.337673,1319.788197,
263.99811,330.991127,773.979773,0.836854,0.551818,-0.271685,1323.869617,
257.997365,338.992733,808.244715,0.508166,0.733064,0.785398,1326.399964,
257.997088,335.99075,353.744626,0.833902,1.289607,0.785398,1327.391007,
257.998994,334.990558,594.230674,0.988477,0.626884,-0.250785,1323.247126,
255.997997,337.9908,678.0051,0.923636,0.584514,-0.340282,1322.135254,
254.998417,333.99134,485.913673,1.446392,0.533125,-0.258031,1328.626609,
249.996737,329.98806,634.455541,0.584641,0.972245,0.785398,1328.918905,
251.998292,333.991866,522.160205,1.307967,0.5,-0.26383,1328.695465,
249.002163,339.990908,897.013322,0.670709,0.596433,-0.754372,1332.331102,
246.000954,341.990979,629.216551,0.62574,0.787024,0.785398,1327.984453,
245.000482,337.992178,490.951376,0.741845,1.064117,0.785398,1332.244408,
246.999054,334.987412,628.200833,1.030191,0.576055,-0.306427,1337.560684,
246.999337,337.991044,584.315933,1.170064,0.501661,-0.331599,1337.847261,
244.999108,332.990059,677.668144,0.699187,0.784411,0.785398,1343.897904,
242.99982,335.988051,443.328809,1.717058,0.5,-0.304075,1346.344267,
241.997349,332.988074,872.66223,0.536186,0.731446,0.785398,1343.162495,
239.99813,331.9863,557.677058,0.629286,1.040958,0.785398,1348.878957,
236.999484,330.98683,644.094266,1.069167,0.521443,-0.408739,1350.797195,
239.997383,328.985116,736.488968,0.527106,0.901887,0.785398,1356.652526,
239.998861,330.987979,378.333152,1.721114,0.560327,-0.304907,1352.543681,
235.998241,327.98419,783.86792,0.707838,0.645208,-0.250836,1355.712027,
233.99805,326.987663,818.341,0.528434,0.757154,0.785398,1358.426678,
235.9994,328.985544,379.585274,1.708461,0.597542,-0.240726,1360.79295,
234.996313,323.986905,699.490193,0.631644,0.797441,0.785398,1361.783071,
232.996374,324.986797,836.848193,0.808557,0.5,-0.692168,1365.585331,
229.996767,320.984738,400.454314,1.458537,0.6093,-0.327022,1366.04669,
232.99737,326.986664,723.034072,0.829469,0.583537,-0.551398,1367.803671,
229.999493,321.98802,474.561413,0.636273,1.043145,0.785398,1373.974958,
228.997625,323.986171,668.272605,0.555615,0.857523,0.785398,1381.698543,
229.000624,318.989413,651.910749,0.679229,0.805564,0.785398,1385.030024,
