id,time,T_flux,uncertainty,x_centroid,y_centroid,norm_t,oot_mask,norm_flux,norm_flux_error
1,58107.065,154.30429477983125,56.40729648979868,424.0017936096093,287.0016748024407,0.0,True,1.1013607617362988,0.40261214451699184
2,58107.067,158.59135698692262,57.30444652315011,424.0009486323488,287.0010567504142,0.0020000000004074536,True,1.1319600532514835,0.4090156334512015
3,58107.069,134.759066822131,56.870836497898,424.00043806464225,287.00200285121326,0.004000000000814907,True,0.9618549418722621,0.4059207029543571
4,58107.071,155.14011989317805,56.81623429045908,424.00191999476465,287.001208390951,0.006000000001222361,True,1.107326538546513,0.40553097479505207
5,58107.073,182.53389190921735,57.126353835483854,424.00385300269556,287.00077851869435,0.007999999994353857,True,1.3028520464882338,0.4077444808988526
6,58107.075,133.48527996040502,56.54961915997567,424.00270110956853,287.00249290249667,0.00999999999476131,True,0.9527631737505651,0.4036279853570807
7,58107.077,135.80323978412343,56.968802345064276,424.0007005862075,287.0017478832428,0.011999999995168764,True,0.969307820163468,0.4066199429866138
8,58107.079,166.9784575418089,57.385012846241594,424.0025130723945,287.00050326236544,0.013999999995576218,True,1.1918237366899036,0.40959068281775957
9,58107.081,146.28459590901912,56.720607546906386,424.0009154181376,287.00176909303,0.01599999999598367,True,1.0441194408135328,0.4048484303249073
10,58107.083,163.62565559455834,56.9979994946863,424.00195449038443,287.00175198695393,0.017999999996391125,True,1.1678928116832883,0.4068283402641758
11,58107.086,141.43661359727412,57.609705747392034,424.0000801245645,287.0016793596734,0.021000000000640284,True,1.0095165316763242,0.41119444857891924
12,58107.088,137.76339682853722,56.65077239585829,423.9986390179895,287.0022060190673,0.023000000001047738,True,0.9832986171055665,0.40434997566255304
13,58107.09,152.38946113906422,57.54564828276113,424.0022372656453,287.0020211318754,0.024999999994179234,True,1.0876934646581289,0.41073723267224954
14,58107.092,130.59764226294647,56.75452868061526,424.00003151644967,287.0026018834408,0.026999999994586688,True,0.9321524003522662,0.40509054546314033
15,58107.094,131.66974609155295,56.66997894502957,423.99998396319387,287.00182514904566,0.02899999999499414,True,0.9398046377123425,0.40448706413216295
16,58107.096,128.83262133568496,57.21684727230559,424.00162524723316,287.0025057301402,0.030999999995401595,True,0.9195544049711077,0.40839038593119364
17,58107.098,144.70616007674107,57.108791588307355,424.0011293472716,287.00055870879476,0.03299999999580905,True,1.032853213304635,0.40761912878240175
18,58107.1,158.67014620103146,56.887977119891,424.0017619629301,286.99947186946724,0.0349999999962165,True,1.1325224183430795,0.4060430456831955
19,58107.102,118.19985838110006,56.681582945186406,424.0031195384058,287.0040005505373,0.036999999996623956,True,0.843662104476606,0.4045698887254133
20,58107.104,153.1943725512392,57.00378216173279,424.00133030805574,287.001959700303,0.03899999999703141,True,1.0934385921499343,0.4068696145695493
21,58107.108,136.3004273701008,57.09061534981296,424.00037197434557,287.00320716701594,0.04299999999784632,True,0.9728565412097563,0.40748939424777814
22,58107.111,146.9500540916997,57.44309492140075,424.0006350314039,287.0015333576006,0.04599999999481952,True,1.04886920835582,0.41000524884543743
23,58107.113,146.23018780304847,57.01153545782799,424.00045474719116,287.0000037944934,0.04799999999522697,True,1.0437310980708894,0.4069249544167361
24,58107.115,139.56069027753983,57.835247853186196,423.9986024789117,287.00450578727475,0.049999999995634425,True,0.9961269605089798,0.4128042756144888
25,58107.117,146.09434012140264,57.38092355697008,424.0003333369511,287.00110187841796,0.05199999999604188,True,1.0427614730429469,0.4095614951483336
26,58107.119,152.69880659913906,57.891927740789484,423.99984912628054,287.0016887531288,0.05399999999644933,True,1.0899014456610803,0.41320883340255915
27,58107.121,141.036974257353,56.45992759753554,424.0009858025601,287.00401799239205,0.055999999996856786,True,1.0066640699968659,0.4029878037751531
28,58107.123,169.99992991819454,57.46669311303838,424.00011940838556,287.0058765436405,0.05799999999726424,True,1.2133897671284566,0.41017368305755514
29,58107.125,148.83068741691386,57.33619885895717,424.0012965963071,287.0025104710513,0.059999999997671694,True,1.0622923976102727,0.4092422685996351
30,58107.127,173.49456037995697,57.274672997744226,424.0027386590726,287.00740701458835,0.06199999999807915,False,1.238333005894722,0.4088031222397191
31,58107.129,137.7374372737322,56.99474063296762,424.0021059314285,287.00053380713854,0.0639999999984866,False,0.9831133284517726,0.4068050798459872
32,58107.131,164.00967822789244,56.85455810053497,424.0015996249683,287.0022952250444,0.06599999999889405,False,1.170633807716978,0.4058045144312498
33,58107.133,190.41788400161022,58.03242509344313,424.0018859578838,287.00137091479417,0.06799999999930151,False,1.3591247480924908,0.4142116458748973
34,58107.136,164.11451051940094,58.430220851938905,424.00232719709135,287.00255291183225,0.07099999999627471,False,1.1713820576123883,0.41705094882636407
35,58107.138,139.8584878943293,57.905024805536904,423.9997134502045,287.0005559727504,0.07299999999668216,False,0.9982525177433943,0.4133023148784138
36,58107.14,171.1245667137482,57.546524211377,424.0009355771811,287.0000990595998,0.07499999999708962,False,1.2214169632579939,0.41074348469141064
